YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2604,D6031730,D603173,D6031730,MCK3J017WAA5,8M6CL,7940781,2026/04/01 11:06:12 AM,8,SMALL_PARTICLE,SMALL_PARTICLE,1.769585,-6.94498,4,AME421_PM6,P_78_GABON_R1,2026/04/01 9:25:13 AM,2026/04/01 11:06:12 AM,BPD442,SRCIP,0.014337,BSL,0,0.014337,331,SRCIP,1
2603,D5491210,D549121,D5491210,KJ6GY334WFA3,8M5CL,7742345,2026/03/22 11:40:02 AM,79,SMALL_PARTICLE,SMALL_PARTICLE,0.407475,0.809365,5,AME409_PM3,P_78_GABON_B10_R3,2026/03/22 10:27:12 AM,2026/03/22 11:40:02 AM,BPD450,ICCR2+CV+GF,0.007319,BSL,0,0.007319,530,ICCR2,1
2601,D5311390,D531139,D5311390,GQ0HQ185JKG7,8M6CL,7107203,2026/01/11 8:20:41 PM,285,SMALL_PARTICLE,SMALL_PARTICLE,-3.528545,4.898413,4,AME409_PM5,P_78_GABON_R1,2026/01/11 6:34:28 PM,2026/01/11 8:20:41 PM,BPD446,ICCR2+CV+GF,0.010827,BSL,0,0.010827,2244,ICCR2,1
2512,D5323310,D532331,D5323310,KJ09W392WFB6,8M6CL,7160058,2025/12/18 9:25:40 PM,19,SMALL_PARTICLE,SMALL_PARTICLE,-4.101757,-0.313329,4,AME421_PM6,P_78_GABON_R1,2025/12/18 8:15:42 PM,2025/12/18 9:25:40 PM,BPD450,SRCIP,0.003553,BSL,0,0.003553,2710,SRCIP,1
2603,D5491220,D549122,D5491220,5DWYB299MVD6,8M6CL,7742528,2026/03/31 12:35:37 AM,13,SMALL_PARTICLE,SMALL_PARTICLE,-7.134817,-8.389139,4,AME401_PM2,P_78_GABON_R1,2026/03/30 8:01:03 PM,2026/03/31 12:35:37 AM,BPD432,ICCR2+CV+GF,0.003584,BSL,0,0.003584,384,ICCR2,1
2602,D5402130,D540213,D5402130,A21NN059SLB4,8M5CL,7412064,2026/02/02 10:01:38 PM,74,SMALL_PARTICLE,SMALL_PARTICLE,-9.369599,-12.610084,5,AME419_PM6,P_78_GABON_B10_R3,2026/02/02 8:01:09 PM,2026/02/02 10:01:38 PM,BPD454,ICCR2+CV+GF,0.014767,BSL,0,0.014767,1858,ICCR2,1
2601,D529ED60,D529ED6,D529ED60,GP5YS301JKF5,8M5CL,7058627,2026/01/02 6:46:01 PM,74,SMALL_PARTICLE,SMALL_PARTICLE,-6.819517,3.935342,5,AME417_PM6,P_78_GABON_B10_R3,2026/01/02 5:57:46 PM,2026/01/02 6:46:01 PM,BPD446,ICCR2+CV+GF,0.006591,BSL,0,0.006591,2383,ICCR2,1
2512,D5323330,D532333,D5323330,KHZTT022WFF5,8M5CL,7160348,2025/12/20 2:26:27 PM,195,SMALL_PARTICLE,SMALL_PARTICLE,7.197871,5.382263,5,AME409_PM1,P_78_GABON_B10_R3,2025/12/20 12:27:50 PM,2025/12/20 2:26:27 PM,BPD436,ICCR2+CV+GF,0.010978,BSL,0,0.010978,2682,ICCR2,1
2603,D5496000,D549600,D5496000,KJ67E175WFF6,8M6CL,7738629,2026/03/26 10:44:13 AM,2,SMALL_PARTICLE,SMALL_PARTICLE,-6.12172,-11.472821,4,AME423_PM1,P_78_GABON_R1,2026/03/26 8:43:41 AM,2026/03/26 10:44:13 AM,BPD444,ICCR2+CV+GF,0.003584,BSL,0,0.003584,471,ICCR2,1
2512,D5323050AB,D532305,D5323050AB,GQ7WW450JKA3,8M5CL,7851088,2025/12/23 10:33:02 PM,1309,SMALL_PARTICLE,SMALL_PARTICLE,-27.295881,12.872287,5,AME409_PM5,P_78_GABON_B10_R3,2025/12/23 9:26:31 PM,2025/12/23 10:33:02 PM,BPD444,ICCR2+CV+GF,0.003975,BSL,0,0.003975,2600,ICCR2,1
