YYMM,LOT,LOT7,ACTUAL_LOT,WAFER_ID,LAYER,WAFER_KEY,INSPECTION_TIME,DEFECT_ID,CLASS,FINEBIN,WAFER_X_MM,WAFER_Y_MM,Column 14,IMAGE_COUNT,SUBENTITY,RECIPE,SUBENTITY_END_TIME,INSPECT_TIME,INSPECT_TOOL,PILOT_STATUS,SUM_NCDD,STATUS,BEEP_NCDD,SMP_NCDD,ORIGINAL_ROW_NUMBER,PILOT,_INCLUDE
2512,D5376430,D537643,D5376430,KJ1RQ464WFE1,8M6CL,7311315,2025/12/23 5:30:45 PM,15,SMALL_PARTICLE,SMALL_PARTICLE,-128.311831,42.211685,18245.752325,4,AME423_PM3,P_78_GABON_R1,2025/12/23 4:08:02 PM,2025/12/23 5:30:45 PM,BPD454,ICCR2+CV+GF,0.003553,BSL,0,0.003553,2606,ICCR2,1
2604,D5501790,D550179,D5501790,GT2RM251JKB1,8M5CL,7779492,2026/04/13 2:58:25 AM,1910,SMALL_PARTICLE,SMALL_PARTICLE,119.314123,76.146644,20034.17134,5,AME421_PM6,P_78_GABON_B10_R3,2026/04/13 12:56:31 AM,2026/04/13 2:58:25 AM,BPD436,SRCIP,0.007383,BSL,0,0.007383,1419,SRCIP,1
2602,D5424840,D542484,D5424840,A20V6002SLG5,8M6CL,7495743,2026/02/07 7:09:10 AM,40753,SMALL_PARTICLE,SMALL_PARTICLE,-92.256982,98.129048,18140.660789,4,AME417_PM6,P_78_GABON_R1,2026/02/07 5:37:01 AM,2026/02/07 7:09:10 AM,BPD458,ICCR2+CV+GF,0.010658,BSL,0.003553,0.007105,1768,ICCR2,1
2604,D6021090,D602109,D6021090,KJ7KK026WFA7,8M5CL,7907792,2026/04/11 12:17:56 AM,1217,SMALL_PARTICLE,SMALL_PARTICLE,36.286136,-129.561607,18102.893674,5,AME423_PM2,P_78_GABON_B10_R3,2026/04/10 10:20:57 PM,2026/04/11 12:17:56 AM,BPD448,ICCR2+CV+GF,0.010978,BSL,0.007319,0.003659,31,ICCR2,1
2601,D5334350,D533435,D5334350,GQ6VT126JKB5,8M6CL,7176728,2026/01/04 1:36:42 AM,5668,SMALL_PARTICLE,SMALL_PARTICLE,-121.519906,60.795266,18463.151922,4,AME425_PM2,P_78_GABON,2026/01/03 11:08:46 PM,2026/01/04 1:36:42 AM,BPD448,POR+CV+GF,0.003553,BSL,0,0.003553,2363,POR,1
2604,D5501640,D550164,D5501640,5DWZC564MVG5,8M6CL,7774562,2026/04/05 4:53:52 AM,3,SMALL_PARTICLE,SMALL_PARTICLE,136.202349,-4.610268,18572.334444,4,AME427_PM3,P_78_GABON_R1,2026/04/05 3:16:26 AM,2026/04/05 4:53:52 AM,BPD450,SRCIP,0.003553,BSL,0,0.003553,189,SRCIP,1
2601,D5463030,D546303,D5463030,A20D2071SLA4,8M5CL,7625115,2026/01/29 2:10:11 PM,1048,SMALL_PARTICLE,SMALL_PARTICLE,-9.659723,-135.212308,18375.678483,5,AME411_PM1,P_78_GABON_B10_R3,2026/01/29 12:16:04 PM,2026/01/29 2:10:11 PM,BPD448,SRCIP,0.014767,BSL,0,0.014767,1974,SRCIP,1
2604,D6015590,D601559,D6015590,A23UP019SLB5,8M6CL,7889923,2026/04/07 8:25:18 AM,78,SMALL_PARTICLE,SMALL_PARTICLE,135.987151,-25.648459,19150.348686,4,AME401_PM2,P_78_GABON_R1,2026/04/07 7:22:32 AM,2026/04/07 8:25:18 AM,BPD432,ICCR2+CV+GF,0.010753,BSL,0,0.010753,131,ICCR2,1
2601,D5322970,D532297,D5322970,A1YQA051SLC1,8M6CL,7141317,2026/01/22 10:55:43 AM,8,SMALL_PARTICLE,SMALL_PARTICLE,136.532789,31.321585,19622.244159,4,AME427_PM3,P_78_GABON,2026/01/22 10:10:16 AM,2026/01/22 10:55:43 AM,BPD454,POR+CV+GF,0.010753,BSL,0,0.010753,2075,POR,1
2602,D5424840,D542484,D5424840,A20V6002SLG5,8M6CL,7495743,2026/02/07 7:09:10 AM,40752,SMALL_PARTICLE,SMALL_PARTICLE,-92.971094,98.439292,18333.918529,4,AME417_PM6,P_78_GABON_R1,2026/02/07 5:37:01 AM,2026/02/07 7:09:10 AM,BPD458,ICCR2+CV+GF,0.010658,BSL,0.003553,0.007105,1768,ICCR2,1
